timestamp,elapsed_s,cpu_percent,ram_percent,ram_used_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb
2026-07-31T20:01:47,674.0,17.9,48.4,15.41,38.0,1549.0,8192.0
2026-07-31T20:01:49,676.1,19.6,48.4,15.42,26.0,1554.0,8192.0
2026-07-31T20:01:51,678.1,22.2,48.4,15.41,25.0,1555.0,8192.0
2026-07-31T20:01:53,680.1,22.7,48.4,15.41,38.0,1549.0,8192.0
2026-07-31T20:01:55,682.2,16.6,48.4,15.41,36.0,1549.0,8192.0
2026-07-31T20:01:57,684.2,21.1,48.4,15.41,31.0,1555.0,8192.0
2026-07-31T20:01:59,686.3,20.1,48.4,15.41,33.0,1549.0,8192.0
2026-07-31T20:02:01,688.4,22.6,48.4,15.41,34.0,1549.0,8192.0
2026-07-31T20:02:03,690.4,17.0,48.4,15.41,28.0,1555.0,8192.0
2026-07-31T20:02:06,692.5,17.0,48.4,15.42,29.0,1555.0,8192.0
2026-07-31T20:02:08,694.5,16.1,48.4,15.42,30.0,1549.0,8192.0
2026-07-31T20:02:10,696.6,21.1,48.4,15.4,28.0,1549.0,8192.0
2026-07-31T20:02:12,698.6,24.1,48.4,15.4,34.0,1547.0,8192.0
2026-07-31T20:02:14,700.7,16.7,48.4,15.4,27.0,1541.0,8192.0
2026-07-31T20:02:16,702.7,15.1,48.4,15.4,36.0,1541.0,8192.0
2026-07-31T20:02:18,704.8,21.7,48.4,15.4,43.0,1547.0,8192.0
2026-07-31T20:02:20,706.8,21.0,48.3,15.39,41.0,1547.0,8192.0
2026-07-31T20:02:22,708.9,16.1,48.3,15.39,37.0,1541.0,8192.0
2026-07-31T20:02:24,710.9,18.4,48.3,15.39,37.0,1541.0,8192.0
2026-07-31T20:02:26,713.0,22.1,48.3,15.39,40.0,1547.0,8192.0
2026-07-31T20:02:28,715.1,20.9,48.3,15.39,24.0,1541.0,8192.0
2026-07-31T20:02:30,717.1,16.9,48.3,15.4,30.0,1541.0,8192.0
2026-07-31T20:02:32,719.2,17.8,48.4,15.4,27.0,1547.0,8192.0
2026-07-31T20:02:34,721.2,21.5,48.4,15.4,32.0,1545.0,8192.0
2026-07-31T20:02:36,723.3,23.4,48.4,15.4,34.0,1541.0,8192.0
2026-07-31T20:02:38,725.4,20.5,48.4,15.4,35.0,1546.0,8192.0
2026-07-31T20:02:40,727.4,18.6,48.4,15.4,28.0,1564.0,8192.0
2026-07-31T20:02:43,729.5,20.8,48.4,15.4,34.0,1553.0,8192.0
2026-07-31T20:02:45,731.5,20.8,48.4,15.4,33.0,1550.0,8192.0
2026-07-31T20:02:47,733.6,15.6,48.4,15.4,25.0,1551.0,8192.0
2026-07-31T20:02:49,735.6,16.8,48.4,15.4,30.0,1550.0,8192.0
